"1,150,000", Dubai, Dubai Marina,,2,3,"1,219 sqft",Motivated Seller | Affordable Price | Grab now,Apartment
"4,200,000", Dubai, The Villa,,5,6,"5,974 sqft",Aldea Courtyard 7 | Private Pool | Private Garden,Villa
"154,999", Ajman, Ajman Downtown,Horizon Tower A,Studio,1,630 sqft,SPECIOUS STUDIO AVAILABLE FOR SALE IN  HORIZON TOWER WITH OPEN VIEW AND PARKING,Apartment
"2,300,000", Dubai, Palm Jumeirah,Marina Residences 4,2,2,"1,927 sqft",High ROI I 2 BHK + Maids Type C I Tenanted I Appliances Included,Apartment
"500,000", Dubai, Jumeirah Village Circle (JVC),MILANO by Giovanni Boutique Suites,Studio,1,374 sqft,Luxurious Design | Hotel Apartment | Furnished,Hotel Apartment
"130,000", Ajman, Ajman Downtown,Horizon Tower A,Studio,1,630 sqft,BEST STUDIO FOR SALE IN HORIZON TOWERS AJMAN,Apartment
"2,200,000", Dubai, Al Furjan,,3,3,"2,411 sqft",Spacious | Single Row | Rented | Well Maintained,Townhouse
"2,500,000", Dubai, The Greens,Al Jaz 2,3,2,"1,657 sqft",Rented With Private Garden - 3 Bedrooms + Laundry Room,Apartment
"255,000", Ajman, Ajman Downtown,,2,3,"1,312 sqft",2BHK FLAT FOR SALE,Apartment
"4,800,000", Dubai, Downtown Dubai,The Address Sky View Tower 1,3,4,"1,850 sqft",Luxury Furnished | Sea View | Multiple Options,Apartment
"150,000,000", Dubai, Emirates Hills,,6,8,"32,000 sqft",Vacant Brand New Villa | Luxury 6 Bed,Villa
"880,000", Ajman,Al Zahya,,4,6,"3,014 sqft","Free Hold Villa excellent finishing main road in excellent location, price in Al zahia area.",Villa
"1,050,000", Dubai, DAMAC Hills 2 (Akoya by DAMAC),,3,3,"2,296 sqft",Exclusive | High-End Finishing | Brand New Villa,Villa
"3,749,999", Dubai, Arabian Ranches,Al Reem 2,3,3,"2,998 sqft",Full Lake View | Type 1E | Vacant On Transfer,Villa
"6,499,900", Dubai, Downtown Dubai,,3,4,"2,333 sqft",No Columns 3BR+M+S | 1Lift Access | DIFC View,Apartment
"1,800,000", Dubai, Downtown Dubai,29 Boulevard 2,1,2,"1,106 sqft",High floor | fountain view  |  rented | good-sized apt,Apartment
"3,500,000", Dubai, The Springs,,3,2,"2,551 sqft",Type 2M Villa | Back to Back | Springs 3,Villa
"3,725,000", Dubai, Green Community,Townhouses Area,4,4,"4,380 sqft",Middle Row Townhouse | Facing Park,Townhouse
"4,700,000", Dubai, Arabian Ranches 2,,5,5,"3,850 sqft",5 Bedroom | Notice Served | Amazing Location,Villa
"790,000", Dubai, Dubai Sports City,Olympic Park 4,2,3,"1,472 sqft",Investor Deal|7% High ROI|2 Bedroom Open View,Apartment
"1,400,000", Dubai, Dubai Marina,,1,2,"1,062 sqft",High Floor | 1 Bed | Full Marina View,Apartment
"4,500,000", Dubai, Dubai Marina,,3,4,"1,801 sqft",Full Sea View | Tower 1 | 02 Layout | Furnished,Apartment
"1,050,000", Dubai, Arjan,,1,2,"1,047 sqft",Low Floor / Garden View / Terrace,Apartment
"4,500,000", Dubai, Arabian Ranches 2,,4,4,"3,225 sqft",Single Row | Type 2 | Family Home | Rented,Villa
"770,000", Abu Dhabi, Al Reem Island,,1,2,944 sqft,Would you like to invest or live in a deluxe apartment in a prime location in Al Reem Island?,Apartment
"3,600,000", Dubai, Jumeirah Beach Residence (JBR),Rimal 5,3,3,"1,925 sqft",3 Beds | Owner Occupied | Dubai Eye View,Apartment
"1,100,000", Dubai, Al Furjan,,2,3,"1,016 sqft",Spacious and Iconic Apt | Community View,Apartment
"5,000,000", Ajman, Al Hamidiyah,,10,10,"13,500 sqft","Villa with wonderful designs, luxurious decorations and a distinctive stone facade,For sale.",Villa
"1,450,000", Dubai, Dubai Creek Harbour,Dubai Creek Residence Tower 2 South,1,2,"1,167 sqft",HOT DEAL!!  LARGEST AND SPACIOUS 1 BHK  |  COMMUNITY VIEW,Apartment
"359,000", Dubai, Jumeirah Village Triangle (JVT),Al Manara Tower,Studio,1,448 sqft,Spacious Layout Mid Floor| Community view | Rented,Apartment
"8,250,000", Dubai, Jumeirah Park,,4,3,"4,335 sqft",District 4 Rarely Available on the Lake with Large Plot,Villa
"1,100,000", Dubai, Motor City,"Dickens Circus 2,  Dickens Circus",2,2,"1,536 sqft",2 Beds | Sq. M 142.70 | Pool And Park View,Apartment
"20,000,000", Dubai, Arabian Ranches,,5,5,"9,109 sqft",Amazing Plot | Upgraded | Vastu Compliant,Villa
"3,700,000", Dubai, Dubai Harbour,"Sunrise Bay Tower 1,  Sunrise Bay",2,2,"1,283 sqft",Large Unit | Luxurious | Modern Finishing,Apartment
"6,400,000", Dubai, The Meadows,,5,4,"3,805 sqft",Large Plot | Type 7 | Lake View | VOT,Villa
"1,150,000", Dubai, Jumeirah Lake Towers (JLT),Laguna Tower,1,1,"1,264 sqft",Huge 1 bed | Large terrace | Excellent location,Apartment
"3,500,000", Dubai, Downtown Dubai,,2,3,"1,442 sqft","Elegant, spacious and bright 2BR at Boulevard Point for Sale",Apartment
"7,300,000", Abu Dhabi, Al Raha Beach,"Al Naseem Residence C,  Al Naseem",5,6,"4,775 sqft",Upgraded penthouse in a perfect position,Penthouse
"645,000", Dubai, Dubai Science Park,Montrose Residence A,1,2,765 sqft,MONTROSE 1BR | RENTED |  OPEN VIEW,Apartment
"25,000,000", Dubai, Downtown Dubai,BLVD Crescent Tower 1,4,6,"6,975 sqft",Duplex | 360 Downtown View | Large Terrace,Penthouse
"1,800,000", Dubai, Dubailand,"Amaranta B,  Amaranta",3,4,"1,990 sqft",Open House | Brand New | Pool Facing | Single Row,Townhouse
"600,000", Dubai, Jumeirah Village Circle (JVC),Binghatti Gate,1,1,970 sqft,Brand New 1 BR | Large Terrace | Closed Kitchen |,Apartment
"1,800,000", Abu Dhabi, Al Raha Beach,Al Zeina Building C,2,2,"1,427 sqft",Spectacular 2BR| High Floor | Vacant Unit |Balcony,Apartment
"1,520,000", Abu Dhabi, Al Reem Island,"Horizon Tower A,  Horizon Towers",3,4,"1,480 sqft",Floor To Ceiling Windows | Open Concept,Apartment
"1,849,999", Dubai, Downtown Dubai,Burj Views C,2,3,"1,487 sqft",Prime Location | Lavish | Spacious,Apartment
"1,250,000", Dubai, Dubai Creek Harbour,Harbour Views 1,1,1,729 sqft,Creek & Garden View | Mid Floor | Rented,Apartment
"3,900,000", Dubai, Palm Jumeirah,Oceana Adriatic,2,2,"1,891 sqft",Fully Upgraded W/ Study | Genuine Resale,Apartment
"1,499,999", Dubai, Dubai Marina,,1,2,"1,158 sqft",Sea and Golf View | Huge Layout | Motivated Seller,Apartment
"4,400,000", Dubai, Downtown Dubai,,2,2,"1,543 sqft",100% Best Deal| Vacant |2 BR |Address Sky Views,Apartment
"2,100,000", Dubai, Palm Jumeirah,,1,2,"1,158 sqft",Fully Furnished | Ocean and Marina Views,Apartment
"5,000,000", Dubai, Al Wasl,Building 9,3,5,"2,355 sqft",Furnished Apt | 2 Parking and Maids Room,Apartment
"2,325,000", Dubai, Palm Jumeirah,Marina Residences 4,2,3,"1,975 sqft",Vacant On Transfer | D - Type | Two Beds,Apartment
"16,000,000", Dubai, Downtown Dubai,,4,5,"3,012 sqft",Highest Floor |  Fully Furnished | Four BR Penthouse + Maidroom,Penthouse
"1,300,000", Dubai, Jumeirah Golf Estates,Al Andalus Tower B,2,3,"1,372 sqft",Prime Location | Golf Course View | Large Layout,Apartment
"2,825,000", Abu Dhabi, Al Raha Beach,"Al Rahba 1,  Al Rahba",4,4,"2,445 sqft",Exclusive | Family friendly community | Canal View,Apartment
"5,200,000", Dubai, Jumeirah Park,Regional Large,3,4,"3,527 sqft",Exclusive Best Deal 3 Bed Close to Park District 6,Villa
"1,800,000", Dubai, The Springs,,2,3,"1,857 sqft",Close to Lake | Park and Pool | Investor Deal,Villa
"1,250,000", Abu Dhabi, Al Reef,Arabian Style,2,3,"1,263 sqft",Single Row | Full Amenities | Study Room,Villa
"1,800,000", Dubai, Dubai Creek Harbour,Creekside 18 Tower A,2,2,"1,142 sqft",Dubai Creek Harbour | 2 bedrooms,Apartment
"2,650,000", Dubai, Palm Jumeirah,Marina Residences 2,2,3,"1,950 sqft",New To The Market | Marina Views | D Type,Apartment
"1,075,000", Abu Dhabi, Al Reef,Desert Style,2,3,"1,262 sqft",Semi Single Villa | Huge Layout | Landscaped Garden,Villa
"835,000", Dubai, Remraam,Al Thamam 53,2,2,"1,600 sqft",Hot Offer| Ground Floor| Large Terrace| Thamam|,Apartment
"900,000", Dubai, Jumeirah Village Circle (JVC),Reef Residence,1,2,925 sqft,Spacious | Fully Furnished | Amazing Skyline View,Apartment
"185,000", Ajman, Al Nuaimiya,,1,1,794 sqft,1 BHK Nuaimiya Tower For SALE 185000/- RENTED APARTMENT,Apartment
"1,880,000", Dubai, Town Square,,3,4,"2,022 sqft",Great location - Type 2 -  Rented,Townhouse
"9,500,000", Dubai, Dubai Marina,,4,4,"5,644 sqft",Duplex Penthouse | Vacant | Full Palm View,Penthouse
"7,999,950", Dubai, The Meadows,,4,4,"4,018 sqft","Private Pool | 13,567 Plot | 4 Bedrooms",Villa
"2,850,000", Dubai, Reem,Mira Oasis 2,4,4,"4,242 sqft",Type F | Single Row | Corner Plot | Rented,Villa
"3,400,000", Dubai, Arabian Ranches,Alma 1,3,3,"2,436 sqft",Single Row | 3M | Backs Park | Near Pool,Villa
"3,400,000", Dubai, The Springs,,3,3,"2,860 sqft",Exclusive | Upgraded 2M | Backing Park,Villa
"1,650,000", Dubai, Dubai Marina,,2,3,"1,350 sqft",Vacant | Community View | Great Location,Apartment
"2,250,000", Dubai, Dubai Marina,,2,3,"1,255 sqft",Marina View | High Floor | Unfurnished,Apartment
"1,354,995", Dubai, Arjan,,3,3,"1,505 sqft",10% ROI Guaranty | Rare Availability on Unit | Best Investment,Apartment
"1,300,000", Dubai, Dubai Marina,,1,2,"1,154 sqft",Golf Course View | High Floor | Spacious,Apartment
"5,850,000", Dubai, Jumeirah Park,,4,5,"3,880 sqft",Custom Pool | Private Location | Large Plot 4B,Villa
"1,150,000", Dubai, Jumeirah Lake Towers (JLT),Concorde Tower,1,2,"1,432 sqft","Lake View | One Bed+Study | 1,432 Sq. Ft",Apartment
"15,950,000", Dubai, Palm Jumeirah,,4,4,"6,023 sqft",Exclusive I 4BR Duplex I Private Pool & Hot Tub,Hotel Apartment
"2,100,000", Dubai, Downtown Dubai,"Zaafaran 2,  Zaafaran",1,2,"1,010 sqft",Large 1 Bed+Study | Two Bathrooms | VOT,Apartment
"1,750,000", Dubai, Downtown Dubai,"Zanzebeel 2,  Zanzebeel",1,1,964 sqft,1 bed + Study | Rare | VOT | Good Condition,Apartment
"1,300,000", Dubai, Dubai Marina,Bonaire Tower,1,2,909 sqft,909 sqft | Partial View | Good NET ROI | Tenanted,Apartment
"1,430,000", Dubai, Jumeirah Village Circle (JVC),Fortunato,3,4,"2,349 sqft",Bright & Spacious | Pool View | Tenanted,Apartment
"4,100,000", Dubai, Downtown Dubai,The Address Fountain Views 1,2,3,"1,495 sqft",Luxury Unit | Breathtaking Views | Furnished,Apartment
"1,100,000", Dubai, DAMAC Hills 2 (Akoya by DAMAC),,3,3,"1,208 sqft",Well-managed Townhouse w/ Private garden,Townhouse
"1,150,000", Dubai, Barsha Heights (Tecom),,2,3,"1,174 sqft",Low Floor | Rented Unit | Fahad Tower 2,Apartment
"6,500,000", Dubai, Dubai Hills Estate,,3,4,"3,444 sqft",Brand New | Prime Location | Golf View | Hot Deal,Villa
"1,450,000", Abu Dhabi, Al Raha Beach,Al Raha Lofts 2,2,2,"1,290 sqft",Corner Boulevard View | Amazing Deal | 2BR Duplex,Apartment
"1,250,000", Dubai, Dubai Marina,,1,2,966 sqft,Immaculate | Fully Furnished | Tenanted,Apartment
"855,000", Abu Dhabi, Al Ghadeer,,2,3,"1,277 sqft",Waterfall Community | Big Garden | Prime Location,Townhouse
"3,000,000", Dubai, Palm Jumeirah,Al Khushkar,3,4,"2,218 sqft",3BR Road View | Vacant | Type C | Beach access,Apartment
"2,679,888", Dubai, Dubai Marina,,2,2,"1,131 sqft",Sea View | Ain Dubai View | Prime Location,Apartment
"4,399,999", Dubai, Dubailand,Western Residence South,5,7,"5,812 sqft",CORNER INDEPENDENT VILLA | SINGLE ROW LANDSCAPE  GARDEN,Villa
"700,000", Dubai, Jumeirah Village Circle (JVC),Chaimaa Premiere,1,2,751 sqft,Fully Furnished |Best Investor Deal |Grab The Keys,Apartment
"700,000", Dubai, Jumeirah Village Circle (JVC),Chaimaa Premiere,1,2,774 sqft,Best Investment  Fully Furnished 1BR | Top Quality,Apartment
"4,500,000", Dubai, Downtown Dubai,The Address Sky View Tower 2,2,3,"1,699 sqft",Great Deal | Serviced Apt and High Floor,Apartment
"2,499,999", Dubai, Dubai Creek Harbour,Dubai Creek Residence Tower 2 North,2,3,"1,560 sqft",Full Creek View | Great Layout | Genuine Resale,Apartment
"1,900,000", Dubai, Downtown Dubai,The Residence 8,1,2,"1,092 sqft",On High Floor Unit | Full Boulevard View,Apartment
"1,400,000", Dubai, Dubai Hills Estate,,2,1,723 sqft,BRAND NEW | 2 BED IN COLLECTIVE,Apartment
"3,150,000", Dubai, Dubai Marina,Marina Gate 2,2,2,"1,205 sqft",STUNNING 2 BEDROOM APT | MARINA VIEWS | GOOD R. O. I,Apartment
"3,100,000", Dubai, Palm Jumeirah,Aquamarine,1,2,"1,296 sqft",Reduced price to sell | Tiara Aquamarine,Apartment
"920,000", Abu Dhabi, Al Reem Island,Reflection,1,1,714 sqft,Stunning Sea View | 1BR With Balcony | Tenanted,Apartment
"5,200,000", Dubai, Palm Jumeirah,Oceana Baltic,3,4,"2,279 sqft",Sea View|Spacious|Beach Access|Best Price,Apartment
"3,500,000", Dubai, Reem,Mira Oasis 3,5,4,"3,948 sqft",Ideal Family Home Or Investment | Type F,Townhouse
"800,000", Dubai, Jumeirah Lake Towers (JLT),Saba Tower 3,1,2,707 sqft,Rented Fully Furnished  1Bed Saba 3 w Parking,Apartment
"1,750,000", Dubai, Town Square,,3,3,"2,277 sqft",Immaculate | 3B + Maids | Unfurnished I Type 5,Townhouse
"2,450,000", Dubai, Arabian Ranches,Palmera 1,2,2,"1,889 sqft",Type C | Rented Asset | Upgraded & Extended,Villa
"8,650,000", Dubai, Meydan City,Grand Views,6,8,"6,044 sqft",Vacant | On the Park | Maid And Driver Room,Villa
"2,600,000", Dubai, Culture Village,,3,3,"1,743 sqft",Luxurious & Amazing Apt | Great View!!,Apartment
"1,700,000", Abu Dhabi, Al Reem Island,"The Gate Tower 2,  The Gate Tower,  Shams Gate District",3,3,"1,652 sqft",Eye-catching Property with Panoramic Views,Apartment
"1,380,000", Abu Dhabi, Saadiyat Island,Soho Square Residences,2,3,"1,138 sqft",Modern Style | Hot Deal | Luxury Living,Apartment
"1,365,000", Dubai, Mohammed Bin Rashid City,"Sobha Hartland Greens Building 2,  Hartland Greens",1,2,827 sqft,One Bedroom with Private Garden | Good Location,Apartment
"900,000", Abu Dhabi, Al Reem Island,The Wave,1,2,815 sqft,Fully Furnished 1BR| Magnificent Sea View | Vacant,Apartment
"3,200,000", Dubai, Arabian Ranches,Al Reem 2,3,4,"2,654 sqft",Single Row | Type 2M | Park view,Villa
"700,000", Dubai, Dubai Silicon Oasis,,2,2,896 sqft,Brand New | Chiller Free | 2  Bed Room Apartment |,Apartment
"1,450,000", Abu Dhabi, Al Reem Island,,1,1,923 sqft,Ultra Modern Unit With Balcony & Sleek Finish,Apartment
"1,225,000", Dubai, Downtown Dubai,Bellevue Tower 1,1,1,617 sqft,Good Investment | Amazing Furnished Unit,Apartment
"2,450,000", Dubai, Bur Dubai,Park Gate Residence,2,3,"1,549 sqft",Ready to Move in | 6 Years Payment Plan |  With maid\'s room,Apartment
"3,700,000", Dubai, Palm Jumeirah,Al Msalli,2,3,"1,550 sqft",Type D | Burj Al Arab Views | Good Investment,Apartment
"2,300,000", Abu Dhabi, Al Reem Island,MAG 5 Residence (B2 Tower),2,3,"2,001 sqft",Expansive Residence with Maids and Study Room,Apartment
"344,999", Dubai, Jumeirah Village Circle (JVC),Kensington Manor,Studio,1,438 sqft,Pool View | Vacant | Great Deal,Apartment
"2,550,000", Dubai, Dubai Creek Harbour,Creek Horizon Tower 1,2,2,"1,213 sqft",Spacious Apt | Full Creek and Burj Views,Apartment
"430,000", Ras Al Khaimah, Al Hamra Village,Royal Breeze 3,1,1,695 sqft,Great value - Al Hamra Village - Royal Breeze 3,Apartment
"735,623", Dubai, Arjan,,1,2,740 sqft,Investor Deal|Direct From Owner|No Commission,Apartment
"2,350,000", Dubai, Downtown Dubai,,1,2,935 sqft,| BURJ KHALIFAH & FOUNTAIN VIEWS | FULLY FURNISHED|,Apartment
"5,100,000", Dubai, Dubai Science Park,Villa Lantana 2,4,5,"4,107 sqft",Corner Plot | 4D2 | Top Location | Rare Unit,Villa
"2,675,000", Dubai, Dubai Marina,,3,4,"2,000 sqft",Full Palm/Sea Views / 3 Beds / Vacant on Transfer,Apartment
"700,000", Dubai, Motor City,"Sherlock House 2,  Sherlock House",1,2,"1,013 sqft",Sherlock House 2 | One Bed | 1013 Sq Ft,Apartment
"1,100,000", Abu Dhabi, Al Reem Island,Al Maha Tower,2,3,"1,147 sqft",Affordable 2 BR | Balcony | Rent Refund |Amenities,Apartment
"590,000", Dubai, Dubailand,Cleopatra Tower,1,2,850 sqft,Huge Layout | High Floor | Cleopatra Tower,Apartment
"5,800,000", Dubai, Palm Jumeirah,Emerald,3,3,"2,266 sqft",3 Beds | Vacant Soon | Full Atlantis Views,Apartment
"28,000,000", Dubai, Arabian Ranches,,6,7,"25,304 sqft",Stunning Villa 6 BED  Smart homes |   Rented,Villa
"820,000", Dubai, Dubai South,"Urbana I,  Urbana",2,2,"1,209 sqft",Ready to move in Back to Back 2BR Middle Unit,Townhouse
"20,000,000", Dubai, Palm Jumeirah,Garden Homes Frond K,4,5,"5,000 sqft",Exclusive | Skyline View | Large Plot | Rotunda,Villa
"5,700,000", Abu Dhabi, Yas Island,,4,6,"6,370 sqft",Hot Price | Ready to Move in | No service charge,Villa
"870,000", Dubai, DAMAC Hills 2 (Akoya by DAMAC),,3,3,"1,208 sqft",Stop Searching & Start Living in Luxuriously Chic,Villa
"3,500,000", Abu Dhabi, Al Raha Golf Gardens,,4,5,"3,993 sqft",GOOD DEAL ♦ Move in Ready ♦   Maids Room,Townhouse
"1,400,000", Dubai, Jumeirah Beach Residence (JBR),Bahar 6,1,2,761 sqft,Vacant | Fully Furnished | Marina View,Apartment
"2,860,000", Dubai, Reem,Mira 1,3,3,"2,524 sqft",Type 2E | Vacant June 1st | Spacious Layout,Villa
"4,000,000", Dubai, Jumeirah Beach Residence (JBR),Rimal 5,3,4,"1,925 sqft",SEA VIEW | UNIQUE | HIGH ROI | 3 + MAIDS,Apartment
"3,400,000", Dubai, Dubai Creek Harbour,Creek Horizon Tower 1,3,4,"1,627 sqft",Unique Location | Creek View | Resale | Ready,Apartment
"1,600,000", Dubai, Downtown Dubai,Boulevard Central 2,1,2,980 sqft,Best Deal | 1 Bedroom plus Study | BLVD Central 2,Apartment
"1,950,000", Dubai, Dubai Marina,,2,3,"1,182 sqft",Sea View | Vacant Unit | Chiller Free,Apartment
"28,000,000", Dubai, Mohammed Bin Rashid City,District One Villas,6,7,"12,875 sqft",Corner Vacant 6 Bedroom Contemporary Villa,Villa
"950,000", Dubai, Jumeirah Village Circle (JVC),"Belgravia 1,  Belgravia",1,2,975 sqft,Brand New | Quality Upgrade | Great Investment,Apartment
"7,950,000", Dubai, Jumeirah Beach Residence (JBR),Murjan 3,4,5,"5,319 sqft",Duplex Penthouse | Upgraded and Well Maintained,Penthouse
"1,800,000", Dubai, Downtown Dubai,,1,2,878 sqft,Middle Floor | Tenanted | Community View,Apartment
"1,850,000", Dubai, Downtown Dubai,BLVD Heights Tower 2,1,2,929 sqft,Luxurious | Boulevard and Fountain Views,Apartment
"710,000", Dubai, Al Furjan,,1,2,850 sqft,Vacant Apt | Close to Metro | High Floor,Apartment
"1,500,000", Dubai, Dubai Marina,,1,2,"1,252 sqft",Vacant and Iconic | Stunning Marina View,Apartment
"1,500,000", Dubai, Downtown Dubai,"Zanzebeel 3,  Zanzebeel",1,2,967 sqft,Rented Asset | Solid Location | Ideal Investment,Apartment
"5,399,999", Dubai, Arabian Ranches 2,,4,5,"4,309 sqft","Exclusive | Best priced Rosa, Rasha or Yasmin",Villa
"595,000", Dubai, Jumeirah Village Circle (JVC),"Le Grand Chateau A,  Le Grand Chateau",1,2,825 sqft,Top Floor | Pool View | Immaculate Condition,Apartment
"825,000", Dubai, Dubai Sports City,,2,2,"1,343 sqft",Rented 2BR | Golf Course View | Dubai Sports City,Apartment
"3,299,000", Dubai, The Hills,Vida Residence 4,3,4,"2,058 sqft",Rented Asset | Priced to Sell | Luxury Community,Apartment
"4,450,000", Dubai, Dubai Hills Estate,Maple At Dubai Hills Estate 1,5,5,"3,312 sqft",Backing Park | Large Plot | Vacant July 23,Townhouse
"1,300,000", Dubai, Mohammed Bin Rashid City,Wilton Terraces 1,1,2,837 sqft,Partly-Furnished | Vacant Soon | High-class Area,Apartment
"2,380,000", Dubai, Dubai Creek Harbour,Harbour Views 2,2,2,"1,159 sqft",High Floor | Burj Khalifa & Creek View | Multiple Units,Apartment
"5,300,000", Dubai, Downtown Dubai,The Address Sky View Tower 1,2,3,"1,699 sqft",Great Deal | Burj Khalifa View | Fully Furnished | Mid Floor,Apartment
"3,250,000", Dubai, Palm Jumeirah,Balqis Residence,3,4,"1,945 sqft",Fully Furnished | Massive Balcony | Vacant,Apartment
"3,100,000", Dubai, Palm Jumeirah,Marina Residences 1,2,4,"1,778 sqft",Stunning Views|Type C|Bldg 01|Genuine Pics,Apartment
"1,200,000", Dubai, Palm Jumeirah,Palm Views East,Studio,1,544 sqft,Great Investment | Sea View | Vacant,Apartment
"4,600,000", Dubai, Dubai Harbour,"Sunrise Bay Tower 1,  Sunrise Bay",2,2,"1,142 sqft",Rented | Stunning View | Vacating soon,Apartment
"2,100,000", Dubai, Downtown Dubai,,1,1,741 sqft,High Floor I Brand New I Great Deal,Apartment
"800,000", Abu Dhabi, Al Reem Island,Meera Shams Tower 1,1,1,686 sqft,Perfect Investment or a Lifestyle of Convenience,Apartment
"1,600,000", Abu Dhabi, Al Raha Beach,"Al Naseem Residence C,  Al Naseem",1,2,989 sqft,Full Sea View|Balcony |Spacious with great aspect,Apartment
"600,000", Dubai, Town Square,,1,1,477 sqft,Vacant | Bright | Modern | Great Amenities,Apartment
"4,000,000", Dubai, Downtown Dubai,,2,2,"1,389 sqft",Exclusive | Vida Specialist | Fully Furnished |,Apartment
"549,000", Dubai, Jumeirah Village Circle (JVC),Beverly Residence,Studio,1,453 sqft,Spacious Std apartment | Ready to Move | Amazing interiors | Call now!,Apartment
"700,000", Dubai, Jumeirah Village Circle (JVC),Astoria Residence,1,2,858 sqft,Cash Deals | Multiple Options | Ready to Move in | Call now,Apartment
"2,000,000", Dubai, Dubai Marina,,1,1,696 sqft,Elegant | Newly Furnished | Sea View | Deluxe,Apartment
"1,500,000", Dubai, Mohammed Bin Rashid City,The Residences at District One,1,2,741 sqft,Mid Floor | Furnished | Crystal Lagoon  Views,Apartment
"4,200,000", Dubai, Jumeirah,"La Cote Tower 5,  La Cote,  Port De La Mer",2,2,"1,334 sqft",VACANT | BEST LAYOUT | FULL SEA VIEW | FURNISHED,Apartment
"3,250,000", Abu Dhabi, Al Reem Island,"The Gate Tower 1,  The Gate Tower,  Shams Gate District",3,4,"2,960 sqft",Duplex Townhouse | 3BR+M | Balcony | Close Kitchen,Townhouse
"1,800,000", Dubai, Dubailand,"Amaranta 2,  Amaranta",3,4,"1,777 sqft",Bright and Spacious | Brand New | 3 BR Villa,Villa
"8,700,000", Dubai, Jumeirah Beach Residence (JBR),,2,2,"1,921 sqft",Full Sea View | Large Balcony | Spacious | VOT,Apartment
"2,700,000", Dubai, Business Bay,Noora,2,3,"1,511 sqft",EXCLUSIVE  |  WATER CANAL VIEW | FULLY FURNISHED,Apartment
"3,100,000", Dubai, Palm Jumeirah,Serenia Residences North Wing,1,1,935 sqft,VOT | Sea and Burj Views | Family-friendly,Apartment
"1,600,000", Dubai, Serena,,2,3,"1,857 sqft",Mediterranean Style | 2 BR+Maid | Great Investment,Villa
"1,050,000", Ajman,Al Zahya,,3,5,"3,014 sqft","Villa for sale in Al Zahia district, Ajman, with stone frontage and super deluxe finishing, freehold",Villa
"1,700,000", Dubai, Dubai Marina,,2,3,"1,317 sqft",Two Beds | Vacant | Partial Marina View,Apartment
"740,000", Dubai, Jumeirah Village Circle (JVC),Plazzo Heights,1,2,888 sqft,Pool View  | Ready to Move In | Brand New,Apartment
"4,300,000", Dubai, Al Wasl,Building 11A,3,4,"2,560 sqft",Best Layout | Pool Level | Vacant,Apartment
"23,850,000", Dubai, Palm Jumeirah,Garden Homes Frond M,4,4,"5,000 sqft",4BR Atrium Entry | Atlantis View | High Number,Villa
"420,000", Dubai, Town Square,Zahra Breeze Apartments 3A,Studio,1,319 sqft,Pool View | Fully Furnished | Multiple Options | Investors Deal,Apartment
"1,400,000", Dubai, Mohammed Bin Rashid City,"Sobha Creek Vistas Tower A,  Sobha Creek Vistas",2,2,786 sqft,Brand New | Motivated Seller | Investor Deal,Apartment
"840,000", Dubai, Business Bay,,Studio,1,408 sqft,Prime Location | Burj View | Investor Deal,Apartment
"3,700,000", Dubai, Downtown Dubai,,1,2,880 sqft,STUDY ROOM|BURJ&FOUNTAIN VIEW|WITH BALCONY|HIGH FLOOR|02 SERIES,Apartment
"2,400,000", Dubai, Dubai Marina,Shemara,2,2,"1,350 sqft",Prime Location | High-end | Marina Views,Apartment
"2,199,898", Dubai, Serena,,3,5,"2,741 sqft",3BR+M Villa | Unfurnished | Rented,Villa
"7,800,000", Dubai, Dubai Marina,,4,5,"3,695 sqft",Spectacular Penthouse for Sale | Ain Dubai and Sea View,Penthouse
"1,400,000", Dubai, Dubai Creek Harbour,Harbour Views 1,1,2,836 sqft,Resale | Spacious Balcony | Pool View,Apartment
"4,200,000", Dubai, Palm Jumeirah,Golden Mile 5,3,3,"3,329 sqft","3 Beds | Maids Room | 3,328 Sq Ft | A Type",Apartment
"2,000,000", Dubai, Jumeirah Village Circle (JVC),Mulberry Park,4,5,"1,399 sqft",Well Maintained 4BHK | Spacious Layout | Elegant|,Villa
"2,399,999", Dubai, Business Bay,Ubora Tower 1,3,5,"2,520 sqft",3 BR | Maid | Spacious | Vacant | Burj View,Apartment
"1,100,000", Dubai, Business Bay,Ubora Tower 1,1,2,"1,294 sqft",Bright & Spacious | Meydan View | Mid Floor,Apartment
"3,000,000", Dubai, Jumeirah Village Circle (JVC),Hyati Residences,4,6,"4,300 sqft",4 BHK | With Elevator | Pristine | Exclusive,Townhouse
"470,000", Dubai, Jumeirah Village Circle (JVC),Rigel Apartments,Studio,1,460 sqft,Superb Design Generous Dimensions || Std apt || Amazing Pool view || Contact us now!,Apartment
"1,050,000", Dubai, DAMAC Hills 2 (Akoya by DAMAC),,3,3,"1,208 sqft",Serene Townhouse with Garden and Terrace,Townhouse
"800,000", Abu Dhabi, Al Reem Island,Meera Shams Tower 2,1,1,687 sqft,Spectacular View |Splendid Apartment with Balcony,Apartment
"2,600,000", Dubai, Al Furjan,,3,3,"2,396 sqft",3 bed with maids IType BIQuortaj Style ISingle Row,Townhouse
"13,899,898", Dubai, DAMAC Hills,,6,7,"10,693 sqft",6BR Villa | Landscaped Garden | Vacant | Furnished,Villa
